yaseminhekimoglu,454,228,96,130,0.211,0.286,0.498
yaseminnahum,517,214,115,188,0.222,0.364,0.586
yaseminust,250,189,46,15,0.184,0.06,0.244
yavkor,624,470,90,64,0.144,0.103,0.247
yigitaras,133,76,37,20,0.278,0.15,0.429
ykucbasaran,206,141,49,16,0.238,0.078,0.316
yogainspiration,276,211,54,11,0.196,0.04,0.236
youdontknowzach,167,37,49,81,0.293,0.485,0.778
yourmomsatonmyface,1672,1016,442,214,0.264,0.128,0.392
ysgrafix,129,100,19,10,0.147,0.078,0.225
yucelaysee,447,272,96,79,0.215,0.177,0.391
yusufozkanli,107,35,28,44,0.262,0.411,0.673
zenkavi,1068,548,237,283,0.222,0.265,0.487
zeynepercan,163,125,26,12,0.16,0.074,0.233
zeynepongoren,259,150,63,46,0.243,0.178,0.421
zilkaschroeder,469,279,94,96,0.2,0.205,0.405
ztigrel,33,19,8,6,0.242,0.182,0.424
